Ticker,Earnings Growth,Annual Growth,Institutional Sponsorship,ROE,Debt to Equity,Dividend Growth
MMM,0.0,-47.016636429673895,191314025.0,,,3.2323700160828883
AOS,-29.19318415109834,6.604738132048444,50497166.0,,,2.930894859398583
ABT,0.0,-3.3243132825334865,643105840.0,,,8.882511258907371
ABBV,0.0,20.224494032310652,619568392.0,,,3.17405392284769
ACN,-13.526254192407439,-9.184819978790381,221801823.0,,,4.962923972803026
ADBE,0.0,-0.47729047044804684,151472716.0,,,31.76523297491039
AMD,0.0,43.21495683990629,536489760.0,,,
AES,0.0,-113.90390682264781,382699358.0,,,5.7197964481959795
AFL,0.0,0.880729348151435,230018204.0,,,3.7265360046065052
A,-40.57851239669421,-14.31941735615142,125878751.0,,,0.6262346393120584
APD,0.0,-4.748689562905834,91201959.0,,,2.6887767901500066
ABNB,1202.4761363636364,341.1282174098587,156387949.0,,,
AKAM,0.0,1.3867607864327587,64270823.0,,,
ALB,0.0,44.84608858447169,50417212.0,,,4.549015497608717
ARE,0.0,111.95241536331586,101332765.0,,,1.4444995995419758
ALGN,0.0,56.19776972745056,33332322.0,,,
ALLE,0.0,-11.179246354700915,45667846.0,,,4.865486183897844
LNT,0.0,-2.896469111126146,109007879.0,,,1.8564730850800237
ALL,0.0,151.47550744591774,98844274.0,,,2.239009836727676
GOOGL,0.0,-9.74706522526474,1936978699.0,,,0.0
GOOG,0.0,-9.74706522526474,1589336516.0,,,0.0
MO,0.0,-1.419577809587949,620009247.0,,,39.539759002681144
AMZN,0.0,-367.68219860812,2820695309.0,,,
AMCR,0.0,9.255145916943086,,,,-0.3484709718514733
AEE,0.0,-6.653066100953672,121094079.0,,,0.1647671178289718
AEP,0.0,0.1883991471882257,198598964.0,,,4.277793039044131
AXP,0.0,-16.026916336806185,364821518.0,,,2.2082335243878055
AIG,0.0,6.190828963329281,333723499.0,,,4.9746702868021675
AMT,0.0,7.5748102211678825,176815801.0,,,3.405390421293953
AWK,0.0,-0.7437548217021667,85876733.0,,,2.191977000634091
AMP,0.0,-5.84896689000601,44282574.0,,,3.7895578059001873
AME,-11.879566043434043,-12.73222888049719,94141957.0,,,5.676324781247661
AMGN,0.0,2.687609804026028,200263410.0,,,4.4352981630647905
APH,0.0,-10.515107289845762,293772418.0,,,11.589142663582418
ADI,0.0,-19.67286751159438,189258503.0,,,4.279598473069701
ANSS,-4.56198158050446,-4.36576565401385,37251609.0,,,
AON,0.0,1.5854459218878791,89910163.0,,,1.5987368537377695
APA,0.0,-140.94258388906508,150105876.0,,,4.0809702967115715
AAPL,-39.363117870722434,-13.867078504822613,5199668652.0,,,107.42356607533581
AMAT,-38.5360054347826,-17.70878184113084,304963116.0,,,4.11030167523674
APTV,0.0,31.326786613272294,106448831.0,,,2.0600864254299363
ACGL,-34.83908205841446,-18.493357972451328,180272787.0,,,
ADM,0.0,-11.8909571969712,262798728.0,,,13.72958338530765
ANET,0.0,-24.39200043752174,107824947.0,,,
AJG,0.0,-3.348372105103395,98555092.0,,,2.247702685450585
AIZ,0.0,66.93875241798561,31605642.0,,,3.2240460478426525
T,0.0,-155.13798491678986,2138901830.0,,,0.6986791651597853
ATO,0.0,-9.067659605399342,79827219.0,,,1.0826514753893597
ADSK,-82.24337748344371,7.067931334112032,80836613.0,,,24.075268817204304
ADP,0.0,-8.629228789268225,151736701.0,,,3.4296419226431
